personID,filename,chirp_wer,Deepgram_wer,googleSTT_wer,whisper_wer,seamless_wer
8,ps019_HP,0.2,0.6,0.2,0.2,0.4
8,ps020_HP,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps021_HP,0.125,0.375,0.25,0.125,0.125
8,ps022_HP,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
8,ps023_HP,0.25,0.125,0.125,0.125,0.125
8,ps024_HP,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
8,ps025_HP,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps026_HP,0.25,0.125,0.125,0.125,0.125
8,ps027_HP,0.125,0.375,0.375,0.25,0.125
8,ps028_HP,0.125,0.375,0.125,0.125,0.125
8,ps029_HP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps030_HP,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285
8,ps031_HP,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5
8,ps032_HP,0.125,0.375,0.125,0.125,0.125
8,ps033_HP,0.2857142857142857,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.2857142857142857
8,ps034_HP,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
8,ps035_HP,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
8,ps036_HP,0.125,0.125,0.125,0.125,0.125
8,ps037_HP,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.3333333333333333
8,ps038_HP,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.5
8,ps039_HP,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
8,ps040_HP,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps041_HP,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.14285714285714285
8,ps042_HP,0.125,0.125,0.125,0.125,0.125
8,ps043_HP,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285
8,ps044_HP,0.125,0.375,0.125,0.125,0.125
8,ps045_HP,0.16666666666666666,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,ps046_HP,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333
8,ps047_HP,0.125,0.375,0.25,0.125,0.125
